  -0.000460    0.004890   0.1245   0.0218  -5.5588  -0.0387 
  -0.002530    0.007100   0.0822   0.0866  -5.2167   0.6327 
  -0.005110    0.009680   0.0408   0.1526  -4.8770   1.2764 
  -0.006710    0.012030  -0.0134   0.1122  -5.6687   1.9842 
  -0.009280    0.012290  -0.0677   0.0728  -6.4655   2.7242 
  -0.012020    0.010240  -0.1215   0.0354  -7.2983   3.5025 
  -0.011300    0.009340  -0.1041   0.0040  -7.4722   3.7068 
  -0.012040    0.008410  -0.0865  -0.0274  -7.6472   3.9546 
  -0.011680    0.007450  -0.0700  -0.0584  -7.7687   4.2361 
  -0.009040    0.007780   0.0018   0.0020  -7.8660   4.5704 
  -0.005170    0.010510   0.0730   0.0596  -7.9502   4.8593 
  -0.002440    0.012480   0.1444   0.1140  -8.0318   5.1151 
  -0.001260    0.015230   0.1223   0.1673  -8.1233   5.3994 
  -0.002310    0.019530   0.0996   0.2223  -8.2061   5.6435 
  -0.005680    0.021660   0.0784   0.2792  -8.3039   5.8712 
  -0.008130    0.020660   0.0019   0.2308  -8.3969   6.1246 
  -0.011560    0.018870  -0.0741   0.1880  -8.4980   6.3494 
