  -0.002730    0.001530  -0.0384   0.1147   5.9897  -9.9001 
  -0.006600   -0.004550  -0.1308  -0.0097   5.2748  -9.8153 
  -0.007520   -0.011050  -0.2223  -0.1359   4.5530  -9.6940 
  -0.009090   -0.016950  -0.1693  -0.1779   4.3514  -9.5127 
  -0.006440   -0.020180  -0.1166  -0.2174   4.1546  -9.3401 
  -0.000900   -0.018770  -0.0652  -0.2540   3.9418  -9.1548 
   0.006640   -0.016620   0.0435  -0.1351   3.7376  -8.9814 
   0.011400   -0.012700   0.1516  -0.0118   3.5399  -8.8184 
   0.013670   -0.006480   0.2599   0.1133   3.3664  -8.6775 
   0.014680   -0.001730   0.1887   0.1459   3.2211  -8.5614 
   0.010230    0.000630   0.1172   0.1770   3.0763  -8.4433 
   0.005050    0.000550   0.0458   0.2065   2.9377  -8.3282 
   0.000840   -0.001330  -0.0501   0.0688   2.7988  -8.2170 
  -0.002330   -0.006410  -0.1464  -0.0705   2.6551  -8.1020 
  -0.002960   -0.012800  -0.2418  -0.2111   2.5105  -7.9961 
  -0.003870   -0.017420  -0.1903  -0.2444   2.3708  -7.9064 
   0.001730   -0.021630  -0.1390  -0.2758   2.2312  -7.8146 
   0.009060   -0.022010  -0.0874  -0.3035   2.0998  -7.7404 
   0.016450   -0.019280   0.0385  -0.1375   2.4440  -7.2931 
   0.023780   -0.013040   0.1642   0.0315   2.7852  -6.8622 
   0.027900   -0.007410   0.2933   0.1977   3.1251  -6.4099 
   0.025730   -0.001090   0.2338   0.2506   3.0732  -6.4060 
   0.025130    0.006540   0.1705   0.3027   3.0302  -6.3735 
   0.018250    0.010290   0.1053   0.3559   2.9929  -6.3293 
   0.009330    0.006550  -0.0130   0.2126   2.5331  -6.5888 
   0.003240    0.000500  -0.1313   0.0672   2.0703  -6.8517 
  -0.003230   -0.008050  -0.2495  -0.0781   1.6048  -7.1317 
  -0.005950   -0.017100  -0.2095  -0.1483   1.4428  -7.0123 
  -0.006230   -0.022470  -0.1698  -0.2178   1.2779  -6.8928 
  -0.006240   -0.022320  -0.1328  -0.2849   1.1117  -6.7733 
  -0.001020   -0.019160  -0.0031  -0.1454   0.9537  -6.6335 
   0.004080   -0.012430   0.1244  -0.0005   0.7977  -6.4995 
   0.007940   -0.005280   0.2514   0.1470   0.6520  -6.3510 
   0.009710   -0.000080   0.2069   0.1933   0.5125  -6.2023 
   0.006930    0.002290   0.1658   0.2367   0.3709  -6.0608 
  -0.001290    0.003570   0.1254   0.2815   0.2396  -5.9281 
