  -0.021330  -0.0678  -0.3233   4.4032  -9.6596 
  -0.020030   0.0625  -0.2015   4.2386  -9.3956 
  -0.016430   0.1947  -0.0729   4.0753  -9.1347 
  -0.010680   0.3320   0.0594   3.9130  -8.8716 
  -0.002240   0.2475   0.1128   3.7666  -8.6213 
   0.002030   0.1595   0.1642   3.6194  -8.3717 
   0.003420   0.0672   0.2149   3.4714  -8.1227 
  -0.000530  -0.0546   0.0679   3.3209  -7.9043 
  -0.006070  -0.1773  -0.0808   3.1618  -7.6841 
  -0.012630  -0.2984  -0.2287   2.9965  -7.4813 
  -0.019340  -0.2297  -0.2704   2.8052  -7.3025 
  -0.021140  -0.1633  -0.3125   2.6257  -7.1284 
  -0.021420  -0.0980  -0.3574   2.4427  -6.9511 
  -0.017490   0.0558  -0.1946   2.6869  -6.6694 
  -0.012180   0.2073  -0.0265   2.9412  -6.3707 
  -0.005030   0.3606   0.1450   3.1997  -6.0693 
   0.001510   0.2820   0.2243   3.1589  -5.8607 
   0.007270   0.2058   0.3024   3.1282  -5.6320 
   0.007560   0.1312   0.3774   3.1136  -5.3881 
   0.003550  -0.0066   0.2185   2.5776  -5.5067 
  -0.002280  -0.1478   0.0592   2.0324  -5.6515 
  -0.009120  -0.2888  -0.1016   1.4898  -5.8052 
  -0.014290  -0.2480  -0.1847   1.3337  -5.7196 
  -0.018690  -0.2060  -0.2660   1.1936  -5.6474 
  -0.017860  -0.1636  -0.3460   1.0684  -5.5933 
  -0.016840  -0.0046  -0.2007   0.9360  -5.5342 
  -0.012180   0.1515  -0.0523   0.8228  -5.4786 
  -0.004380   0.3077   0.0969   0.6905  -5.3778 
   0.003120   0.2587   0.1682   0.5642  -5.2657 
   0.005210   0.2092   0.2385   0.4237  -5.1371 
   0.007260   0.1595   0.3103   0.2628  -4.9838 
   0.006660   0.0091   0.1470   0.1200  -4.8757 
   0.001340  -0.1411  -0.0159  -0.0471  -4.7360 
  -0.005930  -0.2906  -0.1812  -0.1701  -4.6928 
  -0.013060  -0.2546  -0.2610  -0.2907  -4.6521 
  -0.018670  -0.2172  -0.3386  -0.3839  -4.6655 
  -0.021060  -0.1817  -0.4151  -0.4683  -4.6733 
